path,bytes,mtime,last_commit,inbound_refs
.claude/settings.local.json,238,2026-04-10,2026-06-22,0
.github/instructions/codacy.instructions.md,4239,2026-04-30,2026-06-22,0
.github/workflows/ci.yml,3053,2026-06-19,2026-06-22,0
CHANGELOG.md,991,2026-06-19,2026-06-22,0
CLAUDE.md,3449,2026-07-18,2026-07-18,8
CONTRIBUTING.md,1866,2026-06-19,2026-06-22,0
Makefile,3327,2026-04-01,2026-06-22,0
README.md,6420,2026-06-19,2026-06-22,2
SECURITY.md,2047,2026-06-19,2026-06-22,29
backend/alembic.ini,5008,2026-04-14,2026-06-22,58
backend/alembic/env.py,1941,2026-06-17,2026-06-22,178
backend/alembic/versions/i5j6k7l8m9n0_baseline.py,1782,2026-06-19,2026-06-22,0
backend/alembic/versions/j6k7l8m9n0o1_app_secrets.py,1265,2026-06-19,2026-06-22,0
backend/alembic/versions/k7l8m9n0o1p2_report_demographics.py,1825,2026-06-19,2026-06-22,0
backend/alembic/versions/l8m9n0o1p2q3_member_photo.py,1905,2026-06-21,2026-06-22,0
backend/alembic/versions/m9n0o1p2q3r4_inline_column_backfill.py,4372,2026-06-21,2026-06-22,0
backend/app/__init__.py,0,2026-04-01,2026-06-22,47
backend/app/core/__init__.py,34,2026-04-09,2026-06-22,47
backend/app/core/cache.py,4733,2026-06-19,2026-06-22,418
backend/app/core/config.py,6770,2026-07-18,2026-07-18,521
backend/app/core/database.py,6490,2026-06-21,2026-06-22,210
backend/app/core/deps.py,3513,2026-06-19,2026-06-22,52
backend/app/core/encryption.py,7627,2026-06-19,2026-06-22,64
backend/app/core/jobs.py,27228,2026-06-21,2026-06-22,86
backend/app/core/middleware.py,704,2026-06-19,2026-06-22,19
backend/app/core/migrate_files.py,6439,2026-06-19,2026-06-22,4
backend/app/core/ollama_service.py,5448,2026-06-19,2026-06-22,14
backend/app/core/parsing.py,1261,2026-06-19,2026-06-22,34
backend/app/core/provider_keys.py,6149,2026-06-21,2026-06-22,38
backend/app/core/rate_limiter.py,2924,2026-06-19,2026-06-22,23
backend/app/core/redis.py,1192,2026-06-19,2026-06-22,40
backend/app/core/scheduler.py,6497,2026-06-21,2026-06-22,34
backend/app/core/security.py,7811,2026-06-19,2026-06-22,35
backend/app/core/sse.py,3248,2026-06-21,2026-06-22,1369
backend/app/core/storage.py,16667,2026-06-21,2026-06-22,132
backend/app/core/thumbnails.py,5084,2026-06-22,2026-06-22,23
backend/app/core/utils.py,332,2026-06-19,2026-06-22,87
backend/app/main.py,18538,2026-07-18,2026-07-18,169
backend/app/models/__init__.py,774,2026-06-19,2026-06-22,47
backend/app/models/ai.py,2307,2026-06-19,2026-06-22,0
backend/app/models/app_secret.py,1053,2026-06-18,2026-06-22,12
backend/app/models/attachment.py,1610,2026-06-19,2026-06-22,500
backend/app/models/base.py,4124,2026-06-19,2026-06-22,786
backend/app/models/conversation.py,2777,2026-06-19,2026-06-22,469
backend/app/models/health_alert.py,2413,2026-06-19,2026-06-22,12
backend/app/models/household.py,1727,2026-06-19,2026-06-22,1314
backend/app/models/lab_result.py,1750,2026-06-19,2026-06-22,67
backend/app/models/medication.py,2472,2026-06-19,2026-06-22,580
backend/app/models/member.py,4152,2026-06-21,2026-06-22,4610
backend/app/models/provider.py,2397,2026-06-19,2026-06-22,2473
backend/app/models/record.py,3041,2026-06-19,2026-06-22,3560
backend/app/models/refresh_token.py,1018,2026-06-19,2026-06-22,46
backend/app/models/reminder.py,3168,2026-06-19,2026-06-22,653
backend/app/models/revoked_token.py,540,2026-06-16,2026-06-22,5
backend/app/models/user.py,1429,2026-06-19,2026-06-22,689
backend/app/models/vaccination.py,1387,2026-06-19,2026-06-22,123
backend/app/models/verification.py,1431,2026-06-19,2026-06-22,391
backend/app/prompts/__init__.py,27,2026-05-31,2026-06-22,47
backend/app/prompts/insight_prompts.py,13912,2026-06-19,2026-06-22,5
backend/app/routers/__init__.py,37,2026-04-09,2026-06-22,47
backend/app/routers/ai.py,9808,2026-06-19,2026-06-22,0
backend/app/routers/attachments.py,3814,2026-06-21,2026-06-22,211
backend/app/routers/auth.py,12436,2026-06-20,2026-06-22,643
backend/app/routers/backup.py,8119,2026-06-19,2026-06-22,318
backend/app/routers/conversations.py,14882,2026-06-21,2026-06-22,159
backend/app/routers/dashboard.py,10968,2026-06-19,2026-06-22,119
backend/app/routers/database.py,1550,2026-06-19,2026-06-22,217
backend/app/routers/health_alerts.py,2579,2026-06-19,2026-06-22,8
backend/app/routers/health_records.py,64015,2026-06-22,2026-06-22,55
backend/app/routers/household.py,11811,2026-06-20,2026-06-22,1248
backend/app/routers/medications.py,13436,2026-06-21,2026-06-22,377
backend/app/routers/member_drug_info.py,2767,2026-07-18,2026-07-17,7
backend/app/routers/member_drug_interactions.py,4725,2026-07-18,2026-07-17,5
backend/app/routers/member_history.py,9199,2026-06-20,2026-06-22,3
backend/app/routers/member_insights.py,4293,2026-06-21,2026-06-22,3
backend/app/routers/member_preconsultation.py,9691,2026-06-21,2026-06-22,2
backend/app/routers/member_preventive.py,2503,2026-06-20,2026-06-22,4
backend/app/routers/member_resources.py,4212,2026-07-18,2026-07-18,10
backend/app/routers/member_smart_report.py,4401,2026-06-21,2026-06-22,2
backend/app/routers/members.py,11249,2026-06-21,2026-06-22,859
backend/app/routers/notifications.py,2233,2026-06-19,2026-06-22,106
backend/app/routers/provider_assignments.py,4471,2026-06-19,2026-06-22,29
backend/app/routers/providers.py,8737,2026-06-19,2026-06-22,519
backend/app/routers/reminders.py,3608,2026-06-19,2026-06-22,263
backend/app/routers/smart_entry.py,9611,2026-06-19,2026-06-22,6
backend/app/routers/smart_search.py,6366,2026-06-19,2026-06-22,2
backend/app/routers/system.py,5507,2026-06-21,2026-06-22,197
backend/app/routers/vaccinations.py,3413,2026-06-20,2026-06-22,54
backend/app/schemas/__init__.py,22,2026-05-03,2026-06-22,47
backend/app/schemas/ai_insight.py,1058,2026-06-19,2026-06-22,25
